DATE,GDPC1
1/1/2004,15248.68
4/1/2004,15366.85
7/1/2004,15512.619
10/1/2004,15670.88
1/1/2005,15844.727
4/1/2005,15922.782
7/1/2005,16047.587
10/1/2005,16136.734
1/1/2006,16353.835
4/1/2006,16396.151
7/1/2006,16420.738
10/1/2006,16561.866
1/1/2007,16611.69
4/1/2007,16713.314
7/1/2007,16809.587
10/1/2007,16915.191
1/1/2008,16843.003
4/1/2008,16943.291
7/1/2008,16854.295
10/1/2008,16485.35
1/1/2009,16298.262
4/1/2009,16269.145
7/1/2009,16326.281
10/1/2009,16502.754
1/1/2010,16582.71
4/1/2010,16743.162
7/1/2010,16872.266
10/1/2010,16960.864
1/1/2011,16920.632
4/1/2011,17035.114
7/1/2011,17031.313
10/1/2011,17222.583
1/1/2012,17367.01
4/1/2012,17444.525
7/1/2012,17469.65
10/1/2012,17489.852
1/1/2013,17662.4
4/1/2013,17709.671
7/1/2013,17860.45
10/1/2013,18016.147
1/1/2014,17953.974
4/1/2014,18185.911
7/1/2014,18406.941
10/1/2014,18500.031
1/1/2015,18666.621
4/1/2015,18782.243
7/1/2015,18857.418
10/1/2015,18892.206
1/1/2016,19001.69
4/1/2016,19062.709
7/1/2016,19197.938
10/1/2016,19304.352
1/1/2017,19398.343
4/1/2017,19506.949
7/1/2017,19660.766
10/1/2017,19882.352
1/1/2018,20044.077
4/1/2018,20150.476
7/1/2018,20276.154
10/1/2018,20304.874
1/1/2019,20415.15
4/1/2019,20584.528
7/1/2019,20817.581
10/1/2019,20951.088
1/1/2020,20665.553
4/1/2020,19034.83
7/1/2020,20511.785
10/1/2020,20724.128
1/1/2021,20990.541
4/1/2021,21309.544
7/1/2021,21483.083
10/1/2021,21847.602
1/1/2022,21738.871
4/1/2022,21708.16
7/1/2022,21851.134
10/1/2022,21989.981
1/1/2023,22112.329
4/1/2023,22225.35
7/1/2023,22490.692
10/1/2023,22679.255
1/1/2024,22749.846
