DATE,WPUSI012011
3/1/2004,156.5
4/1/2004,160.1
5/1/2004,162.7
6/1/2004,162
7/1/2004,162.2
8/1/2004,165.9
9/1/2004,167.2
10/1/2004,165.9
11/1/2004,165.5
12/1/2004,166.3
1/1/2005,168.6
2/1/2005,170.4
3/1/2005,170
4/1/2005,170
5/1/2005,168.1
6/1/2005,167.8
7/1/2005,167.2
8/1/2005,165.9
9/1/2005,168.9
10/1/2005,171.6
11/1/2005,172.7
12/1/2005,173.5
1/1/2006,177.2
2/1/2006,177.7
3/1/2006,178.3
4/1/2006,179
5/1/2006,179.9
6/1/2006,180.7
7/1/2006,182.3
8/1/2006,182.6
9/1/2006,183.3
10/1/2006,182.3
11/1/2006,179.8
12/1/2006,179.8
1/1/2007,181.1
2/1/2007,181.5
3/1/2007,182.5
4/1/2007,183.7
5/1/2007,184
6/1/2007,184
7/1/2007,184.2
8/1/2007,183.9
9/1/2007,183.4
10/1/2007,183
11/1/2007,183.3
12/1/2007,183.5
1/1/2008,184.3
2/1/2008,185.7
3/1/2008,187.8
4/1/2008,190.9
5/1/2008,195.8
6/1/2008,200.4
7/1/2008,203.4
8/1/2008,206.5
9/1/2008,206.3
10/1/2008,201.8
11/1/2008,199.6
12/1/2008,194.8
1/1/2009,193.3
2/1/2009,191.2
3/1/2009,190.2
4/1/2009,188.1
5/1/2009,186.9
6/1/2009,187.1
7/1/2009,187.6
8/1/2009,188.1
9/1/2009,189.3
10/1/2009,189.7
11/1/2009,189.2
12/1/2009,189.4
1/1/2010,190.3
2/1/2010,192.2
3/1/2010,193.7
4/1/2010,196.5
5/1/2010,198.9
6/1/2010,197.2
7/1/2010,195.6
8/1/2010,194.1
9/1/2010,193.9
10/1/2010,193.8
11/1/2010,193.6
12/1/2010,194.2
1/1/2011,195.9
2/1/2011,198.1
3/1/2011,199.7
4/1/2011,201.1
5/1/2011,201.6
6/1/2011,201.9
7/1/2011,202.6
8/1/2011,202.8
9/1/2011,202.7
10/1/2011,202.7
11/1/2011,202.2
12/1/2011,202.2
1/1/2012,203.9
2/1/2012,205.1
3/1/2012,205.7
4/1/2012,206.3
5/1/2012,206.5
6/1/2012,206.6
7/1/2012,206.2
8/1/2012,205.5
9/1/2012,206.6
10/1/2012,205.5
11/1/2012,205.6
12/1/2012,206.4
1/1/2013,208.4
2/1/2013,209.1
3/1/2013,209.8
4/1/2013,210.7
5/1/2013,209.5
6/1/2013,208.8
7/1/2013,208.3
8/1/2013,208.9
9/1/2013,208.9
10/1/2013,209.3
11/1/2013,209.8
12/1/2013,209.8
1/1/2014,211.7
2/1/2014,212.7
3/1/2014,213.4
4/1/2014,213.6
5/1/2014,214.3
6/1/2014,214.5
7/1/2014,214.8
8/1/2014,215.5
9/1/2014,215.7
10/1/2014,215.9
11/1/2014,215.8
12/1/2014,215.5
1/1/2015,215.8
2/1/2015,215.3
3/1/2015,215
4/1/2015,214.5
5/1/2015,213.7
6/1/2015,213.7
7/1/2015,213.7
8/1/2015,213.3
9/1/2015,212.5
10/1/2015,212.4
11/1/2015,211.7
12/1/2015,210.9
1/1/2016,211.4
2/1/2016,211.3
3/1/2016,211.6
4/1/2016,212.7
5/1/2016,213.7
6/1/2016,214.6
7/1/2016,215.3
8/1/2016,216
9/1/2016,215.3
10/1/2016,214.8
11/1/2016,214.5
12/1/2016,215.5
1/1/2017,217.3
2/1/2017,218.8
3/1/2017,219.7
4/1/2017,221
5/1/2017,221.7
6/1/2017,221.9
7/1/2017,221.9
8/1/2017,222.4
9/1/2017,223.1
10/1/2017,223.9
11/1/2017,223.9
12/1/2017,224.1
1/1/2018,225.8
2/1/2018,228.7
3/1/2018,231.3
4/1/2018,232.4
5/1/2018,236.8
6/1/2018,239.2
7/1/2018,239.6
8/1/2018,239.4
9/1/2018,240
10/1/2018,238.7
11/1/2018,238.8
12/1/2018,238.3
1/1/2019,238.5
2/1/2019,238.1
3/1/2019,238.1
4/1/2019,237.2
5/1/2019,237.3
6/1/2019,236.3
7/1/2019,235.6
8/1/2019,234.4
9/1/2019,234.4
10/1/2019,233.8
11/1/2019,232.8
12/1/2019,232.2
1/1/2020,233.4
2/1/2020,234.6
3/1/2020,236.3
4/1/2020,234.3
5/1/2020,233.3
6/1/2020,234.8
7/1/2020,237
8/1/2020,240.9
9/1/2020,246.9
10/1/2020,246.4
11/1/2020,244.3
12/1/2020,248
1/1/2021,256.4
2/1/2021,264.6
3/1/2021,276.7
4/1/2021,291.8
5/1/2021,305.9
6/1/2021,315.7
7/1/2021,313.542
8/1/2021,313.083
9/1/2021,317.136
10/1/2021,322.12
11/1/2021,328.94
12/1/2021,335.032
1/1/2022,345.742
2/1/2022,343.583
3/1/2022,345.852
4/1/2022,343.786
5/1/2022,353.015
6/1/2022,349.8
7/1/2022,346.79
8/1/2022,342.753
9/1/2022,336.464
10/1/2022,333.796
11/1/2022,330.369
12/1/2022,326.449
1/1/2023,327.338
2/1/2023,330.532
3/1/2023,331.729
4/1/2023,333.366
5/1/2023,337.473
6/1/2023,337.336
7/1/2023,334.512
8/1/2023,333.794
9/1/2023,332.098
10/1/2023,328.743
11/1/2023,326.844
12/1/2023,327.644
1/1/2024,334.259
2/1/2024,337.658
3/1/2024,333.566
