DATE,POPTHM
03-01-2004,292434
04-01-2004,292651
05-01-2004,292872
06-01-2004,293103
07-01-2004,293350
08-01-2004,293603
09-01-2004,293857
10-01-2004,294104
11-01-2004,294337
12-01-2004,294561
01-01-2005,294768
02-01-2005,294955
03-01-2005,295149
04-01-2005,295359
05-01-2005,295582
06-01-2005,295824
07-01-2005,296077
08-01-2005,296338
09-01-2005,296606
10-01-2005,296857
11-01-2005,297089
12-01-2005,297311
01-01-2006,297526
02-01-2006,297734
03-01-2006,297950
04-01-2006,298170
05-01-2006,298401
06-01-2006,298653
07-01-2006,298910
08-01-2006,299178
09-01-2006,299452
10-01-2006,299710
11-01-2006,299950
12-01-2006,300178
01-01-2007,300398
02-01-2007,300608
03-01-2007,300823
04-01-2007,301045
05-01-2007,301278
06-01-2007,301528
07-01-2007,301790
08-01-2007,302064
09-01-2007,302334
10-01-2007,302590
11-01-2007,302834
12-01-2007,303062
01-01-2008,303280
02-01-2008,303494
03-01-2008,303707
04-01-2008,303926
05-01-2008,304157
06-01-2008,304396
07-01-2008,304646
08-01-2008,304903
09-01-2008,305158
10-01-2008,305403
11-01-2008,305620
12-01-2008,305827
01-01-2009,306035
02-01-2009,306237
03-01-2009,306438
04-01-2009,306645
05-01-2009,306863
06-01-2009,307090
07-01-2009,307322
08-01-2009,307570
09-01-2009,307826
10-01-2009,308071
11-01-2009,308289
12-01-2009,308495
01-01-2010,308706
02-01-2010,308904
03-01-2010,309095
04-01-2010,309289
05-01-2010,309485
06-01-2010,309691
07-01-2010,309913
08-01-2010,310146
09-01-2010,310385
10-01-2010,310612
11-01-2010,310820
12-01-2010,311020
01-01-2011,311204
02-01-2011,311373
03-01-2011,311551
04-01-2011,311740
05-01-2011,311935
06-01-2011,312147
07-01-2011,312372
08-01-2011,312605
09-01-2011,312842
10-01-2011,313060
11-01-2011,313260
12-01-2011,313454
01-01-2012,313636
02-01-2012,313811
03-01-2012,313993
04-01-2012,314176
05-01-2012,314368
06-01-2012,314576
07-01-2012,314796
08-01-2012,315031
09-01-2012,315264
10-01-2012,315485
11-01-2012,315692
12-01-2012,315877
01-01-2013,316038
02-01-2013,316191
03-01-2013,316357
04-01-2013,316535
05-01-2013,316729
06-01-2013,316934
07-01-2013,317156
08-01-2013,317397
09-01-2013,317635
10-01-2013,317864
11-01-2013,318076
12-01-2013,318276
01-01-2014,318464
02-01-2014,318642
03-01-2014,318827
04-01-2014,319020
05-01-2014,319225
06-01-2014,319438
07-01-2014,319670
08-01-2014,319919
09-01-2014,320166
10-01-2014,320403
11-01-2014,320616
12-01-2014,320815
01-01-2015,320997
02-01-2015,321164
03-01-2015,321344
04-01-2015,321538
05-01-2015,321740
06-01-2015,321954
07-01-2015,322186
08-01-2015,322427
09-01-2015,322670
10-01-2015,322901
11-01-2015,323113
12-01-2015,323318
01-01-2016,323509
02-01-2016,323687
03-01-2016,323871
04-01-2016,324061
05-01-2016,324260
06-01-2016,324476
07-01-2016,324697
08-01-2016,324924
09-01-2016,325155
10-01-2016,325368
11-01-2016,325562
12-01-2016,325742
01-01-2017,325901
02-01-2017,326050
03-01-2017,326207
04-01-2017,326371
05-01-2017,326548
06-01-2017,326743
07-01-2017,326939
08-01-2017,327140
09-01-2017,327342
10-01-2017,327528
11-01-2017,327699
12-01-2017,327848
01-01-2018,327969
02-01-2018,328085
03-01-2018,328219
04-01-2018,328364
05-01-2018,328521
06-01-2018,328692
07-01-2018,328863
08-01-2018,329040
09-01-2018,329216
10-01-2018,329379
11-01-2018,329527
12-01-2018,329659
01-01-2019,329766
02-01-2019,329862
03-01-2019,329977
04-01-2019,330103
05-01-2019,330240
06-01-2019,330393
07-01-2019,330553
08-01-2019,330729
09-01-2019,330904
10-01-2019,331066
11-01-2019,331213
12-01-2019,331345
01-01-2020,331443
02-01-2020,331525
03-01-2020,331642
04-01-2020,331699
05-01-2020,331701
06-01-2020,331744
07-01-2020,331811
08-01-2020,331885
09-01-2020,331966
10-01-2020,332041
11-01-2020,332079
12-01-2020,332062
01-01-2021,332007
02-01-2021,331983
03-01-2021,332023
04-01-2021,332089
05-01-2021,332161
06-01-2021,332249
07-01-2021,332375
08-01-2021,332506
09-01-2021,332610
10-01-2021,332708
11-01-2021,332806
12-01-2021,332891
01-01-2022,332933
02-01-2022,332972
03-01-2022,333067
04-01-2022,333191
05-01-2022,333317
06-01-2022,333451
07-01-2022,333599
08-01-2022,333762
09-01-2022,333925
10-01-2022,334071
11-01-2022,334206
12-01-2022,334326
01-01-2023,334433
02-01-2023,334544
03-01-2023,334664
04-01-2023,334792
05-01-2023,334929
06-01-2023,335080
07-01-2023,335248
08-01-2023,335431
09-01-2023,335612
10-01-2023,335773
11-01-2023,335925
12-01-2023,336070
01-01-2024,336194
02-01-2024,336306
03-01-2024,336423
